Protein1,Protein2,avg_n_models
Q6UDR6,Q8NBZ0,0.367
Q7Z3K3,Q9UP95,0.367
Q8N8Q1,Q9NW61,0.367
Q8NGQ4,Q9Y3C1,0.367
Q8WTU0,Q8WWN9,0.367
Q96CD0,Q96P53,0.367
Q9BRU9,Q9BT40,0.367
Q9BV40,Q9UKY0,0.367
Q9H9P2,Q9H9Y6,0.367
P82933,Q8IXM3,0.367
Q13084,Q9BYN8,0.367
Q6P161,Q9Y399,0.367
A0A1W2PPK0,P54107,0.366
A1L190,Q16384,0.366
A6NFI3,Q86VH4,0.366
E9PB15,Q15800,0.366
O00399,Q2M3G4,0.366
O94769,Q9P2N4,0.366
P23276,Q8N6D2,0.366
P29460,Q8N814,0.366
P52824,P62826,0.366
Q8NGY2,Q9NXR5,0.366
O15239,P03901,0.366
O95298,Q86Y39,0.366
Q96BP2,Q9BQ48,0.366
A0A1W2PQ73,O60895,0.365
A1L453,Q9UQR0,0.365
I3L273,Q8NGG2,0.365
O60241,Q9H4D0,0.365
O75360,Q9BPW5,0.365
O75414,Q9BVJ7,0.365
O76095,Q6DN03,0.365
O94819,Q8IYT1,0.365
P01763,Q30KQ1,0.365
P09668,Q12933,0.365
P0C8F1,P0DUX1,0.365
P0DKX4,P57054,0.365
P13349,Q96MW1,0.365
P21926,Q8IZR5,0.365
P25815,Q9BWG4,0.365
P48651,Q96PV7,0.365
P55771,Q14863,0.365
P59025,Q9Y6H1,0.365
P62987,Q8TAC1,0.365
Q14331,Q96IU4,0.365
Q14669,Q99570,0.365
Q8N690,Q96EX1,0.365
Q96CN5,Q9H4I2,0.365
A0A075B6U4,P10912,0.364
A0A0B4J1Z2,Q5T215,0.364
A0A1B0GTZ2,Q9HBE4,0.364
A0A1W2PR75,O15016,0.364
A0PK05,Q92805,0.364
A6NLC8,Q9Y675,0.364
A8MWD9,Q6ZMS7,0.364
O14508,Q9H159,0.364
O14921,Q9NZV6,0.364
O43653,Q9H3Z4,0.364
O75486,Q96FZ2,0.364
O75951,Q6NUT3,0.364
O95336,Q13137,0.364
O95867,P45973,0.364
O95998,Q9H5I5,0.364
P00734,P48378,0.364
P01023,P23193,0.364
P02750,Q9UGM5,0.364
P08861,Q5BKY1,0.364
P0C2S0,Q8TD07,0.364
P0C7N8,Q3KNT7,0.364
P11362,Q9UBS5,0.364
P15260,Q9BQ15,0.364
P22612,Q16760,0.364
P29372,Q969H8,0.364
P51153,Q8IZ52,0.364
P58876,Q6GPI1,0.364
P68431,Q99990,0.364
P78417,Q96EX1,0.364
P98077,Q9Y250,0.364
Q32M78,Q9UI30,0.364
Q5SW96,Q8NH83,0.364
Q5XUX1,Q8NH56,0.364
Q6IPU0,Q92537,0.364
Q6NSJ2,Q9UKW6,0.364
Q6NXP6,Q8NCF5,0.364
Q6Q8B3,Q8IYX0,0.364
Q86SX6,Q9NQS5,0.364
Q8NGT7,Q9BYL1,0.364
Q8NI28,Q8WVI0,0.364
Q8WZ59,Q96HA8,0.364
Q96GF1,Q96MF2,0.364
Q96NN9,Q9H339,0.364
Q9BY76,Q9BYJ9,0.364
Q9Y614,Q9Y6H3,0.364
O75438,P03901,0.364
P82921,Q96EL2,0.364
A0A087WT02,P02786,0.363
A6NJG6,O43610,0.363
A8MYA2,Q9NRX4,0.363
D6RBM5,P15090,0.363
O14492,Q8NAN2,0.363
O43543,P05160,0.363
O94907,Q13651,0.363
P07203,Q86T96,0.363
P08887,Q8N2G4,0.363
P0DP01,Q8WUJ1,0.363
P13500,Q9NX46,0.363
P43358,Q8N5I3,0.363
Q16553,Q9H098,0.363
Q5TGI0,Q9Y6F6,0.363
Q6UWW0,Q6UXB8,0.363
Q7RTV0,Q9Y2C3,0.363
Q93098,Q9Y2E6,0.363
Q96GI7,Q9Y5U9,0.363
Q96GL9,Q96LL3,0.363
Q9H3Y0,Q9H4G0,0.363
Q9Y258,Q9Y333,0.363
O95178,O95298,0.363
A6NF89,Q13145,0.362
O14958,Q9C0B5,0.362
O95257,Q8TCB6,0.362
P15880,Q5JRX3,0.362
P43121,Q9NWF9,0.362
P60507,Q6P9G0,0.362
P62249,Q9H867,0.362
Q02297,Q12912,0.362
Q13156,Q92621,0.362
Q13201,Q6UWE0,0.362
Q15907,Q6P1L6,0.362
Q629K1,Q64ET8,0.362
Q6ICL7,Q92752,0.362
Q71SY5,Q9Y692,0.362
Q8IVF5,Q9UFC0,0.362
Q8IX12,Q99729,0.362
Q8TEH3,Q9UBP4,0.362
Q99757,Q9P287,0.362
A0A024R1R8,A8MWE9,0.361
A0A0B4J2H0,Q9BX93,0.361
A1L190,P26678,0.361
O14669,O15428,0.361
O14753,Q8NGT1,0.361
O14933,Q9NW81,0.361
O75764,Q9P0J7,0.361
P01133,Q8NDB6,0.361
P05000,Q9NQE9,0.361
P17098,Q8NBX0,0.361
P36383,Q8N137,0.361
P37088,Q9H898,0.361
P41567,Q96N03,0.361
P61966,Q15170,0.361
Q13428,Q14392,0.361
Q3C1V0,Q96CQ1,0.361
Q75MW2,Q8IWB7,0.361
Q7Z769,Q9NZJ5,0.361
Q86VD7,Q9P270,0.361
Q8N145,Q96FX2,0.361
Q8N2E6,Q96S16,0.361
Q8NGR8,Q96NM4,0.361
Q99895,Q9BYS8,0.361
O95168,Q86Y39,0.361
A0A075B6I9,P50461,0.36
A0A0X1KG70,P01034,0.36
A0A1B0GTK4,Q147U7,0.36
A6NH52,P53801,0.36
O15428,Q8N554,0.36
O43150,Q9UH92,0.36
O43613,Q8IZ96,0.36
O60565,P39687,0.36
P09488,P23284,0.36
P10767,Q8N336,0.36
P51149,Q8TC84,0.36
P51511,Q9P0T7,0.36
P55345,Q9H4S2,0.36
P61803,Q9UGQ3,0.36
Q14994,Q9NTX7,0.36
Q15311,Q8N7R7,0.36
Q495Y8,Q9H1E1,0.36
Q5JTB6,Q9BV81,0.36
Q8NGH8,Q8TF65,0.36
Q8WUA8,Q92737,0.36
Q9H6E4,Q9UHF5,0.36
Q8N5N7,Q9NVS2,0.36
A0A0B4J276,P01762,0.359
A0A1B0GVY4,Q86XJ0,0.359
A0A286YFK9,Q8WYQ3,0.359
A4D1Z8,P0DUX1,0.359
A6NKL6,P33908,0.359
B6A8C7,Q6RSH7,0.359
O14641,P78524,0.359
O60883,Q9H4Z2,0.359
O75751,O75832,0.359
O94972,Q9BW11,0.359
O95190,Q6UW32,0.359
P00797,Q9H1C4,0.359
P0CI01,Q8IYB5,0.359
P0DKV0,Q6UXV1,0.359
P0DMW3,Q5VSR9,0.359
P35408,Q9UL63,0.359
P47989,Q9UKL0,0.359
P50120,Q5SW96,0.359
P51460,Q9H0W5,0.359
P62249,Q9BZM6,0.359
Q14296,Q96I23,0.359
Q5HYK3,Q6UWF3,0.359
Q5T036,Q9Y6W8,0.359
Q6DKI1,Q6UX41,0.359
Q6FHJ7,Q6UX46,0.359
Q6ZNA4,Q9NYZ4,0.359
Q7RTU0,Q8NGD0,0.359
Q96ES7,Q9Y6A4,0.359
Q9H1C4,Q9H8M5,0.359
Q9NVF9,Q9NWT6,0.359
O15239,O43674,0.359
O95167,O95168,0.359
O95168,P03901,0.359
A0A087WSZ0,Q53H64,0.358
A6NFF2,P27469,0.358
O00592,P58418,0.358
O75436,Q9BZE3,0.358
O96013,P01037,0.358
P05976,Q9BRX8,0.358
P53667,Q9Y2K9,0.358
P55075,Q99603,0.358
Q01968,Q9UKL4,0.358
Q05513,Q93034,0.358
Q14596,Q9NTG7,0.358
Q15762,Q8ND94,0.358
Q16695,Q6PJE2,0.358
Q5JTW2,Q96G27,0.358
Q86Y78,Q96NL1,0.358
Q8N4H5,Q96RP3,0.358
Q8NDX5,Q96MU8,0.358
Q9GZQ6,Q9NV88,0.358
A0A0B4J1V2,P56181,0.357
A0A1B0GX68,O95406,0.357
A2NJV5,Q8WUH1,0.357
A6NLX3,Q9NPL8,0.357
A6NNW6,Q02878,0.357
A8MWD9,P24386,0.357
B4DS77,P0DJ93,0.357
O14662,Q9UBX0,0.357
O60682,Q96MD2,0.357
O60858,Q6P047,0.357
O75390,P30040,0.357
O75477,P01135,0.357
O94778,Q9P0K8,0.357
P0C1S8,P42167,0.357
P13498,Q86XM0,0.357
P21554,Q9H0S4,0.357
P27694,Q99766,0.357
P32004,Q8NGB9,0.357
P35247,P49895,0.357
P58173,Q9BXJ1,0.357
Q14587,Q8N431,0.357
Q4VC31,Q9ULC6,0.357
Q502W7,Q9NWF4,0.357
Q5JS54,Q99708,0.357
Q86UX6,Q9H210,0.357
Q86WG3,Q8TC57,0.357
Q8N5X7,Q96FZ5,0.357
Q8NE01,Q9UK59,0.357
Q8NGG7,Q9UQ72,0.357
Q8TEJ3,Q9C0I4,0.357
Q96R05,Q9ULL5,0.357
Q9BVI0,Q9P0U1,0.357
Q9H6B4,Q9UJ78,0.357
O43676,O43676,0.357
A0A1B0GU71,P62952,0.356
A0A1B0GX95,Q7Z4S9,0.356
A6H8Z2,Q8NG95,0.356
A6NC86,Q8WVJ9,0.356
A6NKW6,Q8NCG5,0.356
O15173,Q7Z7G0,0.356
O43169,Q8NEG2,0.356
O43298,Q15678,0.356
O43610,Q8WUM0,0.356
O43809,Q8NDX9,0.356
O75052,Q2TAP0,0.356
O75603,P78556,0.356
P04141,Q15800,0.356
P16150,Q9BZ11,0.356
P17098,Q99519,0.356
P26439,P27105,0.356
P35030,P51610,0.356
P48745,Q9H400,0.356
P50148,Q15181,0.356
P60008,Q1L6U9,0.356
P62857,Q8IZP2,0.356
Q01628,Q9BX74,0.356
Q14140,Q9Y697,0.356
Q15561,Q8NH81,0.356
Q3MIW9,Q8NGR8,0.356
Q5H913,Q92496,0.356
Q5SQN1,Q9Y448,0.356
Q68DC2,Q6YHU6,0.356
Q8IYR6,Q9GZV1,0.356
Q8N5M9,Q9H112,0.356
Q8NGF7,Q9Y6U7,0.356
Q96FJ2,Q99743,0.356
Q9H2B4,Q9H4Y5,0.356
Q9UBI4,Q9UKP5,0.356
O15239,Q9NX14,0.356
O43674,O43677,0.356
O43677,O95178,0.356
O75438,P17568,0.356
P82912,Q8TCC3,0.356
A0A0A6YYK4,Q96JF0,0.355
A0PJE2,Q6PH85,0.355
O43364,Q9H0U4,0.355
O60224,Q9Y6E7,0.355
O60603,Q86T24,0.355
O95931,Q9BXN2,0.355
P21918,P32881,0.355
Q6IQ22,Q96C00,0.355
Q8IZJ0,Q9UBN6,0.355
A0A0A0MS02,Q7Z5A9,0.354
A0A0C4DH32,Q2MJR0,0.354
A0A1B0GTL2,Q3C1V1,0.354
A0PK11,O75368,0.354
A2RUH7,Q6ZS11,0.354
A6NGN9,Q6P1M9,0.354
C9JRZ8,Q8TAE6,0.354
H3BQJ8,P54107,0.354
O00273,Q8WYH8,0.354
O14508,Q9UGR2,0.354
O15335,Q9BWC9,0.354
O43543,Q9Y5L4,0.354
O43822,Q9H607,0.354
O96014,Q8NC26,0.354
P01344,Q96IX9,0.354
P01817,Q14011,0.354
P02750,Q9Y458,0.354
P0DMT0,Q9H3N1,0.354
P10176,Q9H6A9,0.354
P13640,Q63HQ0,0.354
P13686,Q6PII3,0.354
P15336,Q9NS69,0.354
P15421,Q969G9,0.354
P35916,Q5H9S7,0.354
P37235,Q9NRQ5,0.354
P43362,Q96LX8,0.354
P78543,Q6UXD1,0.354
Q07654,Q5T6J7,0.354
Q13287,Q93096,0.354
Q13477,Q6ZNX1,0.354
Q16280,Q96IW7,0.354
Q5T953,Q8NDX1,0.354
Q75LS8,Q9P0N5,0.354
Q96CH1,Q9Y282,0.354
Q96LT6,Q9H1D9,0.354
A6NKD9,P13236,0.353
C9JDP6,O75865,0.353
O15504,Q5TZF3,0.353
O60547,P25788,0.353
O95297,Q96B77,0.353
P02766,Q9Y6D0,0.353
P09132,Q8IXQ8,0.353
P14854,Q8WXI2,0.353
P30047,Q7RTU0,0.353
P59923,Q12774,0.353
P62266,Q96DN0,0.353
Q02643,Q2TAL5,0.353
Q12797,Q8NI32,0.353
Q63HM1,Q9GZL7,0.353
Q6V0L0,Q9BXJ5,0.353
Q86VI1,Q96A54,0.353
Q8NEQ5,Q9NS69,0.353
Q8TCV5,Q96MH2,0.353
Q96MG7,Q9BY42,0.353
Q9HBH0,Q9Y3C5,0.353
P62805,Q13111,0.353
A0A0B4J234,O60844,0.352
A0A1B0GWH4,Q15007,0.352
A8MYZ0,P54709,0.352
B4DZS4,P60033,0.352
O15121,Q9UM47,0.352
O43677,Q15697,0.352
O75063,Q16563,0.352
O95760,Q7Z7B7,0.352
P02724,Q5JX69,0.352
P15954,Q69YZ2,0.352
P29016,Q9BY79,0.352
P35325,Q5T751,0.352
P40197,Q3ZAQ7,0.352
P49795,Q8WV41,0.352
Q15049,Q96G27,0.352
Q15717,Q9NSE2,0.352
Q16653,Q9Y5H5,0.352
Q30KP8,Q7Z7F0,0.352
Q4W5P6,Q8N6M8,0.352
Q69YW2,Q8IVP5,0.352
Q6ZNF0,Q86YW5,0.352
Q7Z422,Q9NYL5,0.352
Q86VR8,Q8IZW8,0.352
Q8IX05,Q9Y5T4,0.352
Q8NEW7,Q8NGG7,0.352
Q92613,Q9H093,0.352
Q96IX9,Q9BY71,0.352
Q8IXM3,Q9Y399,0.352
A0A087WSZ9,Q9NYQ3,0.351
A0A1B0GVZ2,Q8NHE4,0.351
A0A2R8Y7Y5,Q5VUB5,0.351
A6NLJ0,Q8IZW8,0.351
O43156,Q9UJY4,0.351
O43739,Q9UI08,0.351
O94885,Q9NVC3,0.351
O95159,Q6N021,0.351
O95976,Q15389,0.351
P01780,Q9Y3U8,0.351
P08118,P53672,0.351
P0CI01,Q9BT23,0.351
P11464,P35227,0.351
P17535,Q14586,0.351
P21754,Q9Y6W8,0.351
P23083,Q96FA7,0.351
P30953,Q8IUR0,0.351
P43088,Q9BZF3,0.351
Q12907,Q9H175,0.351
Q8NBA8,Q99929,0.351
Q8NH04,Q99717,0.351
Q8TF08,Q8WY22,0.351
Q96RL1,Q9UQP3,0.351
Q9BTT6,Q9H8Y5,0.351
O43674,P03915,0.351
Q9P086,Q9P086,0.351
A0A1W2PQJ5,Q04900,0.35
A5PLK6,Q9UMR5,0.35
A6ND01,O60331,0.35
A6NJR5,Q6UWU4,0.35
C9JSJ3,Q6P3V2,0.35
O43766,Q8IVE0,0.35
O75072,P0DKB5,0.35
P04921,Q8N6V4,0.35
P0C0E4,Q96NW7,0.35
P26998,Q8NI22,0.35
P33947,Q6UXU6,0.35
Q5EB52,Q9Y2R0,0.35
Q63ZY3,Q96SJ8,0.35
Q6P9F5,Q9BUP0,0.35
Q6ZMN8,Q9NU23,0.35
Q7Z739,Q969P6,0.35
Q86WK7,Q8N4W6,0.35
Q8NGN7,Q9HD90,0.35
Q8WXH6,Q9BZD7,0.35
Q99717,Q9NRB3,0.35
Q9H521,Q9P0N9,0.35
O15239,P03891,0.35
O43677,Q9P0J0,0.35
A6NHM9,P62316,0.349
A8MYB1,Q14773,0.349
H3BNL8,Q9NQ30,0.349
O00300,O95861,0.349
O15480,Q9Y3E7,0.349
O75293,Q7L190,0.349
P18510,Q8IUA0,0.349
P42025,Q9UL25,0.349
P48304,Q9BTE0,0.349
Q13241,Q96HH6,0.349
Q8N6R1,Q969L4,0.349
Q8ND94,Q96HG1,0.349
P82650,Q7Z7F7,0.349
A0A075B6I1,P02689,0.348
A0A0A0MS02,A0A0C4DH29,0.348
A0A1B0GUQ0,P55769,0.348
A0A1W2PPW3,Q8WUE5,0.348
A0A1W2PQ72,Q9BUF7,0.348
C9JUS6,Q6UWJ8,0.348
O00501,Q8WTX9,0.348
O14638,Q7L985,0.348
O14843,Q68DK7,0.348
O60239,Q9HCR9,0.348
O75506,P01241,0.348
O94856,Q9NXV2,0.348
O95067,P13945,0.348
P01308,P61204,0.348
P05496,Q9NP66,0.348
P08195,Q8IY49,0.348
P0C1H6,Q96S82,0.348
P0DTF9,P42702,0.348
P19429,Q96P56,0.348
P20264,Q86YI8,0.348
P22362,Q99766,0.348
P35680,Q8N0Y5,0.348
P62266,Q9Y4X0,0.348
Q14576,Q16778,0.348
Q16385,Q5HYN5,0.348
Q16661,Q1W6H9,0.348
Q5TGJ6,Q8NG41,0.348
Q5VT99,Q5W5X9,0.348
Q68DD2,Q8NGG3,0.348
Q86V81,Q8IUE0,0.348
Q86WR6,Q96FT9,0.348
Q8IYR6,Q99944,0.348
Q8NH95,Q9H6D8,0.348
Q8WWN8,Q9UKF5,0.348
Q96BM1,Q9H3M7,0.348
Q96DD7,Q9UI43,0.348
Q96EK4,Q9Y5J5,0.348
Q99697,Q9UHV8,0.348
A0A0C4DH24,Q6P9F5,0.347
A0A1B0GUW7,Q5T0J7,0.347
A0A494C0N9,Q99576,0.347
A0A590UK83,Q86VR7,0.347
A6NH00,Q96FA3,0.347
A6NNP5,Q8IYN2,0.347
A8MV81,Q6UW56,0.347
B2RN74,Q9NY43,0.347
C9J3I9,Q9Y2B0,0.347
O14640,Q6UX41,0.347
O15499,Q96NB3,0.347
O95067,Q9NV31,0.347
P09172,Q9P0N8,0.347
P0CV99,Q8WU39,0.347
P0DML2,Q6ZWK4,0.347
P0DTE1,Q96F85,0.347
P17342,P86790,0.347
P25786,Q8NGC3,0.347
P39687,Q7Z353,0.347
Q14318,Q9NYT6,0.347
Q16527,Q8IV53,0.347
Q3SY17,Q86X60,0.347
Q502W6,Q7KZN9,0.347
Q6AHZ1,Q96GD4,0.347
Q6IA17,Q8N456,0.347
Q6ZMI3,Q9UL26,0.347
Q86SG7,Q86SZ2,0.347
Q86WW8,Q96PV7,0.347
Q8NBI3,Q9NRY5,0.347
Q969Y2,Q9BSI4,0.347
Q96BH3,Q96DX7,0.347
Q9BU79,Q9UHU1,0.347
Q9BXS1,Q9NSC7,0.347
Q9P0L0,Q9Y573,0.347
Q9P2H5,Q9UGK3,0.347
P56556,P56556,0.347
A0A1B0GX95,Q6UW15,0.346
A6NGH7,P49840,0.346
O15428,Q8NHZ8,0.346
O95626,Q8N205,0.346
P01270,Q86SZ2,0.346
P0C5J1,Q8NBT2,0.346
P0DH78,Q6PI25,0.346
P16152,Q8N9W5,0.346
P20594,P41597,0.346
P20794,P50616,0.346
P22749,P26718,0.346
P28347,P33032,0.346
P35219,Q9Y576,0.346
P43357,Q9UL41,0.346
Q15116,Q6Q6R5,0.346
Q86W34,Q8NEW0,0.346
Q8NBQ7,Q96C19,0.346
Q8TBQ9,Q96AN5,0.346
Q8TBR7,Q9P275,0.346
O43677,Q86Y39,0.346
O75438,Q86Y39,0.346
A0A075B6I0,Q9BQS6,0.345
A0A286YFK9,Q9Y5W9,0.345
A6NDZ8,P60323,0.345
A8MYZ6,Q9UBN6,0.345
O43320,O75494,0.345
O43506,Q9NUJ1,0.345
O60676,Q3ZCT8,0.345
O95069,Q9H568,0.345
O95750,P05109,0.345
P01571,Q9Y5Q6,0.345
P01782,P14678,0.345
P08118,Q15434,0.345
P33032,Q8N7R7,0.345
P36969,Q86W56,0.345
P52848,Q13948,0.345
P55010,Q2NL67,0.345
Q0VDF9,Q96HI0,0.345
Q13474,Q86YC3,0.345
Q13641,Q9BPZ3,0.345
Q16635,Q7Z3D4,0.345
Q6ZMT1,Q8NHV4,0.345
Q7L7L0,Q8N769,0.345
Q7Z3K3,Q96FE5,0.345
Q8NCA9,Q8TAE6,0.345
Q92529,Q9BYG0,0.345
Q9H1M4,Q9UBE8,0.345
O75394,P82932,0.345
O95178,P03901,0.345
Q6P161,Q9P0M9,0.345
A0A0B4J266,P04733,0.344
A0A2R8Y7D0,Q96KP1,0.344
B1AK53,Q9HAV5,0.344
B4DXR9,Q96LR9,0.344
O00590,Q15287,0.344
O75113,P98174,0.344
O75711,P42771,0.344
O76095,P01877,0.344
P13378,Q9UPT8,0.344
P15822,Q08116,0.344
P17931,P21912,0.344
P18124,Q8NEX5,0.344
P22392,Q5TC63,0.344
P22612,Q6P4F2,0.344
P35348,Q719H9,0.344
P55000,Q86UE4,0.344
P55291,Q3V5L5,0.344
P61081,Q5TID7,0.344
P61163,Q86XN7,0.344
Q14324,Q8WTR2,0.344
Q14863,Q6IEY1,0.344
Q5BKX5,Q9BZM3,0.344
Q658T7,Q8TF66,0.344
Q6PK57,Q7Z6V5,0.344
Q6UXN8,Q6ZU69,0.344
Q6VVB1,Q9NXU5,0.344
Q86YW7,Q9P0G3,0.344
Q8NHP6,Q9Y3E2,0.344
Q8TBA6,Q9Y2M0,0.344
Q8WXI8,Q9ULV5,0.344
Q969Q5,Q9Y2Y1,0.344
Q96GY3,Q9H9H4,0.344
Q99650,Q9UIW0,0.344
Q99879,Q9BXN2,0.344
Q9P104,Q9Y255,0.344
O60783,Q96BP2,0.344
O95167,P03901,0.344
A0A087WV62,Q9BZ67,0.343
A0A589,P20155,0.343
A6NCL1,Q86WI0,0.343
B2RUZ4,P61803,0.343
O00212,Q6P5X5,0.343
O14804,P61224,0.343
O15084,Q9P2X8,0.343
O43927,Q8N4L4,0.343
O95237,Q9UGN4,0.343
O95715,Q8IXQ8,0.343
P0CG21,Q9Y697,0.343
P0DMW5,Q9P2X7,0.343
P19086,Q92876,0.343
P34130,P56211,0.343
P43630,Q9H347,0.343
P51858,Q99705,0.343
P55916,Q1W4C9,0.343
P62280,Q8IYN2,0.343
P62502,Q96L94,0.343
Q01628,Q99952,0.343
Q02156,Q9Y2W6,0.343
Q02747,Q8NGI7,0.343
Q03111,Q9BVG4,0.343
Q05923,Q5JRA6,0.343
Q16769,Q9BX68,0.343
Q59GN2,Q9Y3C5,0.343
Q6ICG8,Q8IXV7,0.343
Q6P4F1,Q9Y3D2,0.343
Q8NI22,Q9UGF7,0.343
Q9H1F0,Q9H503,0.343
A2RU14,A8MWY0,0.342
A2VCK2,P28562,0.342
A8MZ97,Q9H1Z9,0.342
B5MCN3,Q9NWW9,0.342
O15391,Q14964,0.342
O60235,Q1W4C9,0.342
P01138,Q13394,0.342
P16619,Q96LY2,0.342
P42768,Q9NYS0,0.342
Q06732,Q6P1Q9,0.342
Q13572,Q8NGA4,0.342
Q14623,Q8IWB7,0.342
Q3KRB8,Q75T13,0.342
Q3MUY2,Q9Y5F7,0.342
Q63HM2,Q92622,0.342
Q6PJQ5,Q96CN5,0.342
Q7Z7C7,Q9HCL3,0.342
Q8IYJ0,Q8N5M9,0.342
Q92783,Q99880,0.342
Q96BP2,Q96PJ5,0.342
Q9H672,Q9UM63,0.342
O43677,P56556,0.342
A5PLL1,Q9NWF9,0.341
A6NKK0,Q5SWX8,0.341
O15182,Q9UH03,0.341
O95049,Q96SW2,0.341
O95777,Q9BZK7,0.341
O95865,Q9BZL6,0.341
P0C5Z0,P22612,0.341
P0DMV0,Q9BPY8,0.341
P18077,Q8NGN2,0.341
P30511,Q16663,0.341
P41222,Q9Y320,0.341
P50336,Q12794,0.341
P78345,Q13422,0.341
Q12948,Q9UBN6,0.341
Q14141,Q6ZSJ8,0.341
Q4AC99,Q96QE2,0.341
Q5JQD4,Q9Y662,0.341
Q6UXX5,Q9H061,0.341
Q7L190,Q9NP61,0.341
Q7Z6J4,Q8IVI9,0.341
Q86TZ1,Q8IUH5,0.341
Q86UL3,Q8WXS4,0.341
Q8N159,Q92667,0.341
Q8N183,Q96L15,0.341
Q8N371,Q8N6N7,0.341
Q8N4Y2,Q99675,0.341
Q8NDG6,Q9UC07,0.341
Q8NHB7,Q9BQR3,0.341
Q8TCJ0,Q9BZI7,0.341
Q92750,Q96N28,0.341
Q92858,Q96DE5,0.341
A0A075B6N1,Q9GZT3,0.34
A0A590UK83,O00591,0.34
A6NJT0,P07550,0.34
O14939,Q8N0X2,0.34
O75638,Q9UK00,0.34
O76038,Q9BXK5,0.34
O95391,Q8NAX2,0.34
O95925,Q495Y8,0.34
P01567,Q6ICB0,0.34
P01597,Q15532,0.34
P02818,P49862,0.34
P05107,Q8TC71,0.34
P0DPK3,Q8N5V2,0.34
P29017,Q13636,0.34
P40126,Q9Y2W6,0.34
P49674,Q8NFN8,0.34
P51572,Q9BZL4,0.34
P81534,Q13257,0.34
Q14019,Q8N135,0.34
Q15828,Q8NDV1,0.34
Q15884,Q9NTN9,0.34
Q53GA4,Q9BPW5,0.34
Q5VWM3,Q7RTX0,0.34
Q6P3V2,Q8N8U9,0.34
Q76B58,Q9HCJ0,0.34
Q86Y78,Q9HBL6,0.34
Q8IWB1,Q9H521,0.34
Q8N126,Q9BVX2,0.34
Q8N349,Q8NBJ7,0.34
Q8TER5,Q9Y483,0.34
Q96QT4,Q9H267,0.34
Q9NXF8,Q9UKU6,0.34
Q9P2E9,Q9Y2Y6,0.34
O43920,O43920,0.34
O75438,O95298,0.34
A0A0A6YYG3,P80098,0.339
A0A0B4J1Y9,P81172,0.339
O15062,Q969R2,0.339
O95273,Q01638,0.339
P09661,Q9Y5K2,0.339
P0DKB5,Q86VQ3,0.339
P13056,Q9HA90,0.339
P22692,Q9NY28,0.339
P29322,Q9H7E9,0.339
P53674,Q53TS8,0.339
P61371,Q5W0V3,0.339
P61978,Q96C24,0.339
Q13247,Q8N456,0.339
Q16552,Q86YJ5,0.339
Q5JRA6,Q9HCP0,0.339
Q5VZ03,Q86Z23,0.339
Q6UW63,Q9NYL4,0.339
Q8N8A8,Q96KN8,0.339
Q9BW60,Q9NY25,0.339
Q9H147,Q9Y4B6,0.339
A0A0A6YYD4,P62263,0.338
A1L4L8,Q8WXA2,0.338
P0DP73,Q8NBI3,0.338
P15391,Q3MIW9,0.338
P19876,Q8TAC1,0.338
P29374,Q9NU19,0.338
P32243,Q2VPJ9,0.338
Q49AS3,Q96BH3,0.338
Q5JU85,Q9HBM1,0.338
Q6P6B7,Q96LD8,0.338
Q6PJI9,Q8N2W9,0.338
Q96BM9,Q9ULY5,0.338
Q9BQ70,Q9BR09,0.338
Q9BRQ6,Q9Y5K6,0.338
Q9H2I8,Q9Y534,0.338
Q9NXW2,Q9Y3B3,0.338
O95178,Q9NX14,0.338
O14576,Q8NA57,0.337
O43291,Q9NP84,0.337
O75444,Q6WCQ1,0.337
P48645,Q8TE69,0.337
Q5M7Z0,Q96GQ7,0.337
Q6UWW9,Q96B42,0.337
A6NKW6,P16422,0.336
O43566,Q13291,0.336
P17275,Q9UIL8,0.336
Q86UF4,Q9NNX1,0.335
A0A075B6H9,Q15814,0.333
A0A075B6H9,Q9BXK5,0.333
A0A075B6I3,Q16270,0.333
A0A075B6I3,Q8IY50,0.333
A0A075B6I4,Q4KMG9,0.333
A0A075B6I4,Q9NS37,0.333
A0A075B6I6,Q6Q795,0.333
A0A075B6J2,Q8IZ16,0.333
A0A075B6J2,Q9BXS9,0.333
A0A075B6J6,P62318,0.333
A0A075B6J6,Q8IZL8,0.333
A0A075B6K2,P42574,0.333
A0A075B6K4,Q8N3D4,0.333
A0A075B6K5,Q8WWV6,0.333
A0A075B6K5,Q9BW83,0.333
A0A075B6K6,O95633,0.333
A0A075B6L6,Q8NC24,0.333
A0A075B6L6,Q92537,0.333
A0A075B6N3,P20290,0.333
A0A075B6N3,Q8NC01,0.333
A0A075B6N3,Q9NVT9,0.333
A0A075B6N4,O94842,0.333
A0A075B6R0,P22352,0.333
A0A075B6S2,A6NNP5,0.333
A0A075B6S5,Q9H3S5,0.333
A0A075B6S9,Q9NTN3,0.333
A0A075B6T6,C9JBD0,0.333
A0A075B6T6,P18847,0.333
A0A075B6T6,Q5T2D3,0.333
A0A075B6T8,Q8NGY0,0.333
A0A075B6T8,Q9P0K7,0.333
A0A075B6V5,Q6NXS1,0.333
A0A075B6W5,Q9UJL9,0.333
A0A075B700,O00170,0.333
A0A075B767,Q5SR53,0.333
A0A075B767,Q92831,0.333
A0A075B767,Q96PF2,0.333
A0A087WSX0,Q8N0Y7,0.333
A0A087WSY4,Q13103,0.333
